,class,file,truePositives,falsePositives,trueNegatives,falseNegatives,Specificity,Sensitivity,Precision,Accuracy,F1
1961,Starship,m1385.obj,2,28,2160,28,0.9872029250457038,0.06666666666666667,0.06666666666666667,0.9747520288548241,0.06666666666666667
1962,Starship,m1386.obj,1,29,2159,29,0.9867458866544789,0.03333333333333333,0.03333333333333333,0.9738503155996393,0.03333333333333333
1963,SubmachineGun,D00052.obj,1,19,2179,19,0.9913557779799818,0.05,0.05,0.9828674481514879,0.05000000000000001
1964,SubmachineGun,D00060.obj,7,13,2185,13,0.9940855323020928,0.35,0.35,0.9882777276825969,0.35
1965,SubmachineGun,D00062.obj,3,17,2181,17,0.9922656960873522,0.15,0.15,0.9846708746618575,0.15
1966,SubmachineGun,D00064.obj,2,18,2180,18,0.991810737033667,0.1,0.1,0.9837691614066727,0.10000000000000002
1967,SubmachineGun,D00068.obj,3,17,2181,17,0.9922656960873522,0.15,0.15,0.9846708746618575,0.15
1968,SubmachineGun,D00119.obj,6,14,2184,14,0.9936305732484076,0.3,0.3,0.9873760144274121,0.3
1969,SubmachineGun,D00219.obj,4,16,2182,16,0.9927206551410374,0.2,0.2,0.9855725879170424,0.20000000000000004
1970,SubmachineGun,D00256.obj,1,19,2179,19,0.9913557779799818,0.05,0.05,0.9828674481514879,0.05000000000000001
1971,SubmachineGun,D00371.obj,3,17,2181,17,0.9922656960873522,0.15,0.15,0.9846708746618575,0.15
1972,SubmachineGun,D00384.obj,3,17,2181,17,0.9922656960873522,0.15,0.15,0.9846708746618575,0.15
1973,SubmachineGun,D00431.obj,2,18,2180,18,0.991810737033667,0.1,0.1,0.9837691614066727,0.10000000000000002
1974,SubmachineGun,D00459.obj,6,14,2184,14,0.9936305732484076,0.3,0.3,0.9873760144274121,0.3
1975,SubmachineGun,D00489.obj,1,19,2179,19,0.9913557779799818,0.05,0.05,0.9828674481514879,0.05000000000000001
1976,SubmachineGun,D00537.obj,7,13,2185,13,0.9940855323020928,0.35,0.35,0.9882777276825969,0.35
1977,SubmachineGun,D00613.obj,3,17,2181,17,0.9922656960873522,0.15,0.15,0.9846708746618575,0.15
1978,SubmachineGun,D00733.obj,1,19,2179,19,0.9913557779799818,0.05,0.05,0.9828674481514879,0.05000000000000001
1979,SubmachineGun,D00878.obj,6,14,2184,14,0.9936305732484076,0.3,0.3,0.9873760144274121,0.3
1980,SubmachineGun,D00893.obj,5,15,2183,15,0.9931756141947224,0.25,0.25,0.9864743011722272,0.25
1981,SubmachineGun,D00960.obj,3,17,2181,17,0.9922656960873522,0.15,0.15,0.9846708746618575,0.15
1982,SubmachineGun,D00970.obj,5,15,2183,15,0.9931756141947224,0.25,0.25,0.9864743011722272,0.25
1983,Sword,D00066.obj,28,24,2142,24,0.9889196675900277,0.5384615384615384,0.5384615384615384,0.9783588818755635,0.5384615384615384
1984,Sword,D00071.obj,25,27,2139,27,0.9875346260387812,0.4807692307692308,0.4807692307692308,0.975653742110009,0.4807692307692308
1985,Sword,D00133.obj,10,42,2124,42,0.9806094182825484,0.19230769230769232,0.19230769230769232,0.9621280432822362,0.19230769230769232
1986,Sword,D00149.obj,22,30,2136,30,0.9861495844875346,0.4230769230769231,0.4230769230769231,0.9729486023444545,0.4230769230769231
1987,Sword,D00162.obj,26,26,2140,26,0.9879963065558633,0.5,0.5,0.9765554553651938,0.5
1988,Sword,D00177.obj,25,27,2139,27,0.9875346260387812,0.4807692307692308,0.4807692307692308,0.975653742110009,0.4807692307692308
